"","minlatedeparted","scheddeplocal"
"1",72,"12/06/2018 12:55"
"2",-1,"29/08/2018 12:55"
"3",19,"13/05/2018 12:55"
"4",66,"20/07/2018 12:55"
"5",60,"10/01/2019 12:40"
"6",494,"10/01/2019 0:40"
"7",25,"06/06/2018 12:55"
"8",53,"31/07/2018 12:55"
"9",41,"31/07/2018 22:40"
"10",-9,"20/04/2019 12:55"
"11",38,"20/04/2019 22:40"
"12",12,"28/06/2018 12:55"
"13",28,"31/01/2019 12:40"
"14",14,"31/01/2019 0:40"
"15",27,"07/01/2019 12:40"
"16",20,"07/01/2019 0:40"
"17",64,"14/06/2018 12:55"
"18",48,"24/06/2018 12:55"
"19",6,"21/04/2019 12:55"
"20",83,"08/07/2018 22:40"
"21",38,"09/01/2019 12:40"
"22",450,"09/01/2019 0:40"
"23",-2,"02/10/2018 12:55"
"24",13,"02/10/2018 22:40"
"25",6,"21/01/2019 12:40"
"26",14,"21/01/2019 0:40"
"27",19,"05/12/2018 12:40"
"28",20,"05/12/2018 0:40"
"29",69,"13/07/2018 12:55"
"30",2,"04/10/2018 12:55"
"31",9,"04/10/2018 22:40"
"32",39,"10/06/2018 12:55"
"33",-3,"25/04/2019 12:55"
"34",4,"21/02/2019 12:40"
"35",-5,"21/02/2019 0:40"
"36",36,"01/02/2019 12:40"
"37",54,"01/02/2019 0:40"
"38",35,"24/09/2018 12:55"
"39",4,"24/09/2018 22:40"
"40",35,"24/05/2018 12:55"
"41",40,"23/04/2019 12:55"
"42",69,"23/04/2019 22:40"
"43",18,"18/08/2018 12:55"
"44",102,"09/06/2018 12:55"
"45",9,"24/05/2018 7:50"
"46",6,"24/05/2018 14:50"
"47",-5,"24/05/2018 23:15"
"48",7,"24/05/2018 23:35"
"49",-19,"24/05/2018 12:25"
"50",-17,"24/05/2018 18:55"
"51",25,"24/05/2018 18:25"
"52",-12,"24/05/2018 4:05"
"53",40,"24/05/2018 14:15"
"54",67,"24/05/2018 17:55"
"55",-14,"24/05/2018 20:40"
"56",12,"24/05/2018 6:40"
"57",18,"24/05/2018 4:20"
"58",39,"24/05/2018 11:50"
"59",6,"24/05/2018 16:15"
"60",62,"24/05/2018 17:30"
"61",30,"24/05/2018 7:20"
"62",5,"24/05/2018 13:40"
"63",-2,"24/05/2018 11:10"
"64",-12,"24/05/2018 17:45"
"65",30,"24/05/2018 9:50"
"66",12,"24/05/2018 5:55"
"67",-10,"24/05/2018 13:50"
"68",3,"24/05/2018 6:55"
"69",54,"24/05/2018 10:55"
"70",-17,"24/05/2018 8:55"
"71",19,"24/05/2018 7:00"
"72",38,"24/05/2018 15:35"
"73",53,"24/05/2018 20:25"
"74",-19,"24/05/2018 22:15"
"75",74,"24/05/2018 17:25"
"76",-2,"24/05/2018 15:40"
"77",66,"24/05/2018 9:40"
"78",-1,"24/05/2018 3:50"
"79",43,"24/05/2018 21:10"
"80",11,"24/05/2018 5:45"
"81",-5,"24/05/2018 18:00"
"82",30,"24/05/2018 23:05"
"83",5,"24/05/2018 20:00"
"84",41,"24/05/2018 22:05"
"85",105,"24/05/2018 14:10"
"86",19,"24/05/2018 16:15"
"87",-3,"24/05/2018 8:35"
"88",0,"24/05/2018 12:40"
"89",36,"24/05/2018 6:35"
"90",3,"24/05/2018 7:15"
"91",8,"24/05/2018 7:10"
"92",15,"24/05/2018 8:35"
"93",15,"24/05/2018 17:00"
"94",9,"24/05/2018 6:35"
"95",39,"24/12/2018 12:40"
"96",35,"24/12/2018 0:40"
"97",17,"04/08/2018 12:55"
"98",-5,"23/10/2018 12:55"
"99",32,"23/10/2018 22:40"
"100",4,"17/03/2019 12:40"
"101",12,"15/01/2019 12:40"
"102",-2,"15/01/2019 0:40"
"103",23,"21/10/2018 12:55"
"104",35,"21/10/2018 22:40"
"105",72,"21/09/2018 12:55"
"106",83,"21/09/2018 22:40"
"107",-5,"31/01/2019 7:20"
"108",-14,"31/01/2019 8:30"
"109",43,"31/01/2019 23:00"
"110",15,"31/01/2019 16:35"
"111",11,"31/01/2019 23:40"
"112",36,"31/01/2019 10:55"
"113",11,"31/01/2019 14:40"
"114",65,"31/01/2019 9:50"
"115",77,"31/01/2019 18:35"
"116",98,"31/01/2019 9:35"
"117",14,"31/01/2019 18:20"
"118",-7,"31/01/2019 3:55"
"119",123,"31/01/2019 13:55"
"120",43,"31/01/2019 20:55"
"121",-13,"31/01/2019 6:50"
"122",15,"31/01/2019 11:40"
"123",72,"31/01/2019 15:50"
"124",24,"31/01/2019 18:00"
"125",-19,"31/01/2019 7:20"
"126",25,"31/01/2019 13:30"
"127",36,"31/01/2019 11:20"
"128",14,"31/01/2019 17:40"
"129",-4,"31/01/2019 5:50"
"130",18,"31/01/2019 13:45"
"131",-5,"31/01/2019 7:30"
"132",13,"31/01/2019 5:45"
"133",123,"31/01/2019 15:55"
"134",52,"31/01/2019 20:40"
"135",70,"31/01/2019 21:45"
"136",-7,"31/01/2019 8:00"
"137",-6,"31/01/2019 16:50"
"138",91,"31/01/2019 9:55"
"139",62,"31/01/2019 20:00"
"140",165,"31/01/2019 17:25"
"141",141,"31/01/2019 18:05"
"142",180,"31/01/2019 19:30"
"143",128,"31/01/2019 21:40"
"144",206,"31/01/2019 10:40"
"145",119,"31/01/2019 15:50"
"146",0,"31/01/2019 8:45"
"147",88,"31/01/2019 12:55"
"148",18,"31/01/2019 0:05"
"149",14,"31/01/2019 7:10"
