"","minlatedeparted","scheddeplocal"
"1",12,"12/06/2018 5:50"
"2",-14,"12/06/2018 11:05"
"3",15,"12/06/2018 13:00"
"4",-15,"12/06/2018 9:35"
"5",1,"12/06/2018 5:40"
"6",19,"12/06/2018 9:00"
"7",26,"12/06/2018 13:15"
"8",4,"12/06/2018 15:15"
"9",-19,"12/06/2018 18:10"
"10",-4,"12/06/2018 12:40"
"11",-11,"12/06/2018 10:15"
"12",15,"29/08/2018 5:50"
"13",1,"29/08/2018 11:05"
"14",-1,"29/08/2018 13:00"
"15",-22,"29/08/2018 9:35"
"16",8,"29/08/2018 13:15"
"17",-15,"29/08/2018 5:40"
"18",4,"29/08/2018 9:00"
"19",-9,"29/08/2018 15:15"
"20",-31,"29/08/2018 18:10"
"21",-7,"29/08/2018 12:40"
"22",-13,"29/08/2018 10:15"
"23",45,"13/05/2018 5:50"
"24",9,"13/05/2018 11:05"
"25",66,"13/05/2018 13:00"
"26",-5,"13/05/2018 9:35"
"27",7,"13/05/2018 13:15"
"28",-1,"13/05/2018 5:40"
"29",82,"13/05/2018 9:00"
"30",-11,"13/05/2018 15:35"
"31",-10,"13/05/2018 18:10"
"32",-15,"13/05/2018 12:40"
"33",13,"13/05/2018 10:15"
"34",78,"20/07/2018 6:20"
"35",87,"20/07/2018 5:50"
"36",-1,"20/07/2018 11:05"
"37",28,"20/07/2018 9:35"
"38",-23,"20/07/2018 13:15"
"39",63,"20/07/2018 5:40"
"40",12,"20/07/2018 9:00"
"41",24,"20/07/2018 15:15"
"42",-12,"20/07/2018 18:10"
"43",-8,"20/07/2018 12:40"
"44",32,"20/07/2018 10:15"
"45",-9,"05/06/2018 6:20"
"46",64,"05/06/2018 5:50"
"47",6,"05/06/2018 11:05"
"48",1,"05/06/2018 13:00"
"49",7,"05/06/2018 9:35"
"50",23,"05/06/2018 5:40"
"51",-2,"05/06/2018 9:00"
"52",-15,"05/06/2018 18:10"
"53",-13,"05/06/2018 12:40"
"54",5,"05/06/2018 10:15"
"55",27,"10/01/2019 6:30"
"56",5,"10/01/2019 6:00"
"57",49,"10/01/2019 10:50"
"58",10,"10/01/2019 13:00"
"59",60,"10/01/2019 9:35"
"60",39,"10/01/2019 5:40"
"61",-2,"10/01/2019 13:15"
"62",-9,"10/01/2019 14:45"
"63",44,"10/01/2019 5:35"
"64",155,"10/01/2019 14:55"
"65",-5,"10/01/2019 21:35"
"66",31,"10/01/2019 12:30"
"67",58,"10/01/2019 11:00"
"68",-10,"10/01/2019 4:55"
"69",-7,"06/06/2018 6:20"
"70",0,"06/06/2018 5:50"
"71",6,"06/06/2018 11:05"
"72",24,"06/06/2018 13:00"
"73",-25,"06/06/2018 9:35"
"74",-6,"06/06/2018 5:40"
"75",-6,"06/06/2018 9:00"
"76",107,"06/06/2018 15:15"
"77",-4,"06/06/2018 18:10"
"78",-5,"06/06/2018 12:40"
"79",-20,"06/06/2018 10:15"
"80",57,"31/07/2018 6:20"
"81",47,"31/07/2018 5:50"
"82",-13,"31/07/2018 11:05"
"83",-7,"31/07/2018 13:00"
"84",42,"31/07/2018 9:35"
"85",-8,"31/07/2018 5:40"
"86",97,"31/07/2018 13:15"
"87",-9,"31/07/2018 15:15"
"88",24,"31/07/2018 18:10"
"89",75,"31/07/2018 12:40"
"90",19,"31/07/2018 10:15"
"91",-4,"03/07/2018 5:50"
"92",-6,"03/07/2018 11:05"
"93",-16,"03/07/2018 13:00"
"94",-23,"03/07/2018 9:35"
"95",0,"03/07/2018 5:40"
"96",-8,"03/07/2018 9:00"
"97",-5,"03/07/2018 13:15"
"98",-13,"03/07/2018 15:15"
"99",-10,"03/07/2018 18:10"
"100",-4,"03/07/2018 12:40"
"101",-9,"03/07/2018 10:15"
"102",19,"20/04/2019 5:45"
"103",-4,"20/04/2019 6:25"
"104",10,"20/04/2019 5:55"
"105",-17,"20/04/2019 11:05"
"106",-8,"20/04/2019 13:05"
"107",-10,"20/04/2019 9:35"
"108",3,"20/04/2019 5:35"
"109",6,"20/04/2019 13:15"
"110",-14,"20/04/2019 9:00"
"111",-8,"20/04/2019 5:50"
"112",1,"20/04/2019 4:30"
"113",0,"20/04/2019 15:00"
"114",-8,"20/04/2019 17:50"
"115",2,"20/04/2019 5:10"
"116",1,"20/04/2019 16:40"
"117",-12,"20/04/2019 17:10"
"118",-11,"20/04/2019 17:20"
"119",-18,"20/04/2019 21:45"
"120",-18,"20/04/2019 22:30"
"121",-7,"20/04/2019 19:55"
"122",-3,"20/04/2019 12:30"
"123",-15,"20/04/2019 9:35"
"124",-9,"28/06/2018 6:20"
"125",-10,"28/06/2018 5:50"
"126",-1,"28/06/2018 11:05"
"127",-7,"28/06/2018 13:00"
"128",-11,"28/06/2018 9:35"
"129",31,"28/06/2018 5:40"
"130",-17,"28/06/2018 9:00"
"131",-9,"28/06/2018 13:15"
"132",-9,"28/06/2018 15:15"
"133",-9,"28/06/2018 15:35"
"134",-19,"28/06/2018 18:10"
"135",-10,"28/06/2018 12:40"
"136",-12,"28/06/2018 10:15"
"137",25,"31/01/2019 6:30"
"138",145,"31/01/2019 9:15"
"139",28,"31/01/2019 6:00"
"140",65,"31/01/2019 10:50"
"141",14,"31/01/2019 13:00"
"142",-15,"31/01/2019 9:35"
"143",-3,"31/01/2019 5:40"
"144",25,"31/01/2019 13:15"
"145",40,"31/01/2019 14:45"
"146",48,"31/01/2019 5:35"
"147",3,"31/01/2019 4:55"
"148",43,"31/01/2019 14:55"
"149",-15,"31/01/2019 21:35"
"150",20,"31/01/2019 12:30"
"151",14,"31/01/2019 11:00"
"152",65,"31/01/2019 4:55"
"153",-4,"07/01/2019 6:00"
"154",-3,"07/01/2019 10:50"
"155",-2,"07/01/2019 13:00"
"156",20,"07/01/2019 9:35"
"157",19,"07/01/2019 5:40"
"158",1,"07/01/2019 6:30"
"159",5,"07/01/2019 13:15"
"160",-10,"07/01/2019 8:20"
"161",21,"07/01/2019 14:45"
"162",11,"07/01/2019 5:35"
"163",-10,"07/01/2019 4:55"
"164",46,"07/01/2019 14:55"
"165",6,"07/01/2019 12:30"
"166",-15,"07/01/2019 11:00"
"167",-2,"07/01/2019 4:55"
"168",70,"14/06/2018 5:50"
"169",-5,"14/06/2018 11:05"
"170",-5,"14/06/2018 13:00"
"171",43,"14/06/2018 9:35"
"172",33,"14/06/2018 5:40"
"173",-7,"14/06/2018 9:00"
"174",121,"14/06/2018 13:15"
"175",36,"14/06/2018 15:15"
"176",79,"14/06/2018 18:10"
"177",0,"14/06/2018 12:40"
"178",-3,"14/06/2018 10:15"
"179",-17,"24/06/2018 6:20"
"180",2,"24/06/2018 5:50"
"181",-14,"24/06/2018 11:05"
"182",73,"24/06/2018 13:00"
"183",17,"24/06/2018 9:35"
"184",-8,"24/06/2018 13:15"
"185",14,"24/06/2018 5:40"
"186",-3,"24/06/2018 9:00"
"187",1,"24/06/2018 15:15"
"188",62,"24/06/2018 15:35"
"189",47,"24/06/2018 18:10"
"190",-7,"24/06/2018 12:40"
"191",-17,"24/06/2018 10:15"
"192",-1,"21/04/2019 6:25"
"193",26,"21/04/2019 5:55"
"194",-9,"21/04/2019 11:05"
"195",67,"21/04/2019 13:05"
"196",33,"21/04/2019 9:35"
"197",54,"21/04/2019 13:15"
"198",12,"21/04/2019 5:35"
"199",-10,"21/04/2019 9:00"
"200",33,"21/04/2019 5:50"
"201",11,"21/04/2019 4:30"
"202",-2,"21/04/2019 15:00"
"203",-2,"21/04/2019 17:50"
"204",18,"21/04/2019 5:10"
"205",-10,"21/04/2019 16:40"
"206",0,"21/04/2019 17:10"
"207",34,"21/04/2019 5:15"
"208",-4,"21/04/2019 19:20"
"209",-5,"21/04/2019 21:45"
"210",26,"21/04/2019 22:30"
"211",-13,"21/04/2019 19:55"
"212",-1,"21/04/2019 12:30"
"213",17,"21/04/2019 9:35"
"214",1,"08/07/2018 6:20"
"215",57,"08/07/2018 5:50"
"216",-8,"08/07/2018 11:05"
"217",-24,"08/07/2018 13:00"
"218",-13,"08/07/2018 9:35"
"219",-17,"08/07/2018 13:15"
"220",12,"08/07/2018 5:40"
"221",-9,"08/07/2018 9:00"
"222",0,"08/07/2018 15:15"
"223",-21,"08/07/2018 18:10"
"224",18,"08/07/2018 12:40"
"225",-10,"08/07/2018 10:15"
"226",18,"09/01/2019 6:00"
"227",-1,"09/01/2019 10:50"
"228",0,"09/01/2019 13:00"
"229",-9,"09/01/2019 9:35"
"230",5,"09/01/2019 13:15"
"231",92,"09/01/2019 5:40"
"232",79,"09/01/2019 6:30"
"233",-10,"09/01/2019 8:20"
"234",6,"09/01/2019 14:45"
"235",35,"09/01/2019 5:35"
"236",46,"09/01/2019 4:55"
"237",-6,"09/01/2019 14:55"
"238",-5,"09/01/2019 12:30"
"239",-11,"09/01/2019 11:00"
"240",-12,"09/01/2019 4:55"
"241",-2,"02/10/2018 5:50"
"242",3,"02/10/2018 11:05"
"243",10,"02/10/2018 13:00"
"244",7,"02/10/2018 9:35"
"245",101,"02/10/2018 5:40"
"246",-4,"02/10/2018 6:20"
"247",3,"02/10/2018 9:00"
"248",26,"02/10/2018 13:15"
"249",63,"02/10/2018 15:15"
"250",-11,"02/10/2018 18:10"
"251",7,"02/10/2018 12:40"
"252",-16,"02/10/2018 10:15"
"253",11,"21/01/2019 9:15"
"254",6,"21/01/2019 6:00"
"255",15,"21/01/2019 10:50"
"256",5,"21/01/2019 13:00"
"257",0,"21/01/2019 9:35"
"258",2,"21/01/2019 5:40"
"259",4,"21/01/2019 14:45"
"260",12,"21/01/2019 5:35"
"261",0,"21/01/2019 4:55"
"262",8,"21/01/2019 14:55"
"263",27,"21/01/2019 12:30"
"264",106,"21/01/2019 11:00"
"265",5,"21/01/2019 4:55"
"266",15,"05/12/2018 6:00"
"267",0,"05/12/2018 10:50"
"268",-9,"05/12/2018 13:00"
"269",-8,"05/12/2018 9:35"
"270",13,"05/12/2018 13:15"
"271",13,"05/12/2018 5:40"
"272",3,"05/12/2018 6:30"
"273",-25,"05/12/2018 8:20"
"274",5,"05/12/2018 17:15"
"275",-5,"05/12/2018 15:25"
"276",-2,"05/12/2018 14:45"
"277",-5,"05/12/2018 5:35"
"278",8,"05/12/2018 4:55"
"279",-8,"05/12/2018 14:55"
"280",-17,"05/12/2018 21:35"
"281",-12,"05/12/2018 12:30"
"282",-12,"05/12/2018 11:00"
"283",6,"05/12/2018 4:55"
"284",-18,"13/07/2018 6:20"
"285",-8,"13/07/2018 5:50"
"286",229,"13/07/2018 11:05"
"287",-11,"13/07/2018 9:35"
"288",-12,"13/07/2018 13:15"
"289",-14,"13/07/2018 5:40"
"290",10,"13/07/2018 9:00"
"291",37,"13/07/2018 15:15"
"292",-5,"13/07/2018 18:10"
"293",-11,"13/07/2018 12:40"
"294",-26,"13/07/2018 10:15"
"295",6,"04/10/2018 5:50"
"296",1,"04/10/2018 11:05"
"297",-8,"04/10/2018 13:00"
"298",-21,"04/10/2018 9:35"
"299",-1,"04/10/2018 5:40"
"300",11,"04/10/2018 6:20"
"301",-7,"04/10/2018 9:00"
"302",-13,"04/10/2018 13:15"
"303",128,"04/10/2018 15:15"
"304",17,"04/10/2018 18:10"
"305",-3,"04/10/2018 12:40"
"306",-9,"04/10/2018 10:15"
"307",96,"10/06/2018 11:05"
"308",-4,"10/06/2018 13:00"
"309",30,"10/06/2018 9:35"
"310",-9,"10/06/2018 5:40"
"311",-2,"10/06/2018 9:00"
"312",49,"10/06/2018 18:10"
"313",30,"10/06/2018 12:40"
"314",10,"10/06/2018 10:15"
"315",17,"29/06/2018 6:20"
"316",3,"29/06/2018 5:50"
"317",-8,"29/06/2018 11:05"
"318",26,"29/06/2018 9:35"
"319",-18,"29/06/2018 13:15"
"320",3,"29/06/2018 5:40"
"321",-11,"29/06/2018 9:00"
"322",-8,"29/06/2018 15:15"
"323",-7,"29/06/2018 15:35"
"324",-5,"29/06/2018 18:10"
"325",-11,"29/06/2018 12:40"
"326",5,"29/06/2018 10:15"
"327",1,"25/04/2019 6:25"
"328",-1,"25/04/2019 5:55"
"329",9,"25/04/2019 11:05"
"330",130,"25/04/2019 13:05"
"331",3,"25/04/2019 9:35"
"332",2,"25/04/2019 5:35"
"333",113,"25/04/2019 13:15"
"334",35,"25/04/2019 9:00"
"335",4,"25/04/2019 5:50"
"336",12,"25/04/2019 4:30"
"337",25,"25/04/2019 5:10"
"338",91,"25/04/2019 16:40"
"339",98,"25/04/2019 17:10"
"340",80,"25/04/2019 17:20"
"341",28,"25/04/2019 21:45"
"342",14,"25/04/2019 22:30"
"343",-11,"25/04/2019 19:55"
"344",63,"25/04/2019 12:30"
"345",-3,"25/04/2019 9:35"
"346",-6,"21/02/2019 6:30"
"347",81,"21/02/2019 9:15"
"348",0,"21/02/2019 6:00"
"349",11,"21/02/2019 10:50"
"350",-14,"21/02/2019 13:00"
"351",2,"21/02/2019 9:35"
"352",3,"21/02/2019 5:40"
"353",-13,"21/02/2019 13:15"
"354",7,"21/02/2019 8:20"
"355",1,"21/02/2019 14:45"
"356",3,"21/02/2019 5:35"
"357",8,"21/02/2019 4:55"
"358",8,"21/02/2019 14:55"
"359",-21,"21/02/2019 21:35"
"360",7,"21/02/2019 12:30"
"361",-19,"21/02/2019 11:00"
"362",-6,"21/02/2019 4:55"
"363",19,"01/02/2019 6:30"
"364",104,"01/02/2019 9:15"
"365",6,"01/02/2019 6:00"
"366",97,"01/02/2019 10:50"
"367",55,"01/02/2019 13:00"
"368",47,"01/02/2019 9:35"
"369",37,"01/02/2019 13:15"
"370",33,"01/02/2019 5:40"
"371",33,"01/02/2019 8:20"
"372",23,"01/02/2019 14:45"
"373",29,"01/02/2019 5:35"
"374",2,"01/02/2019 4:55"
"375",113,"01/02/2019 14:55"
"376",7,"01/02/2019 12:30"
"377",25,"01/02/2019 11:00"
"378",0,"01/02/2019 4:55"
"379",41,"24/05/2018 6:20"
"380",55,"24/05/2018 5:50"
"381",19,"24/05/2018 11:05"
"382",-4,"24/05/2018 13:00"
"383",35,"24/05/2018 9:35"
"384",44,"24/05/2018 5:40"
"385",-9,"24/05/2018 9:00"
"386",11,"24/05/2018 13:15"
"387",75,"24/05/2018 15:15"
